X;Y
0;0
0.031496;0.031496
0.062992;0.062992
0.094488;0.094488
0.125984;0.125984
0.15748;0.15748
0.188976;0.188976
0.220472;0.220472
0.251969;0.251969
0.283465;0.283465
0.314961;0.314961
0.346457;0.346457
0.377953;0.377953
0.409449;0.409449
0.440945;0.440945
0.472441;0.472441
0.503937;0.503937
0.535433;0.535433
0.566929;0.566929
0.598425;0.598425
0.629921;0.629921
0.661417;0.661417
0.692913;0.692913
0.724409;0.724409
0.755906;0.755906
0.787402;0.787402
0.818898;0.818898
0.850394;0.850394
0.88189;0.88189
0.913386;0.913386
0.944882;0.944882
0.976378;0.976378
1.007874;1.007874
1.03937;1.03937
1.070866;1.070866
1.102362;1.102362
1.133858;1.133858
1.165354;1.165354
1.19685;1.19685
1.228346;1.228346
1.259843;1.259843
1.291339;1.291339
1.322835;1.322835
1.354331;1.354331
1.385827;1.385827
1.417323;1.417323
1.448819;1.448819
1.480315;1.480315
1.511811;1.511811
1.543307;1.543307
1.574803;1.574803
1.606299;1.606299
1.637795;1.637795
1.669291;1.669291
1.700787;1.700787
1.732283;1.732283
1.76378;1.76378
1.795276;1.795276
1.826772;1.826772
1.858268;1.858268
1.889764;1.889764
1.92126;1.92126
1.952756;1.952756
1.984252;1.984252
2.015748;2.015748
2.047244;2.047244
2.07874;2.07874
2.110236;2.110236
2.141732;2.141732
2.173228;2.173228
2.204724;2.204724
2.23622;2.23622
2.267717;2.267717
2.299213;2.299213
2.330709;2.330709
2.362205;2.362205
2.393701;2.393701
2.425197;2.425197
2.456693;2.456693
2.488189;2.488189
2.519685;2.519685
2.551181;2.551181
2.582677;2.582677
2.614173;2.614173
2.645669;2.645669
2.677165;2.677165
2.708661;2.708661
2.740157;2.740157
2.771654;2.771654
2.80315;2.80315
2.834646;2.834646
2.866142;2.866142
2.897638;2.897638
2.929134;2.929134
2.96063;2.96063
2.992126;2.992126
3.023622;3.023622
3.055118;3.055118
3.086614;3.086614
3.11811;3.11811
3.149606;3.149606
3.181102;3.181102
3.212598;3.212598
3.244094;3.244094
3.275591;3.275591
3.307087;3.307087
3.338583;3.338583
3.370079;3.370079
3.401575;3.401575
3.433071;3.433071
3.464567;3.464567
3.496063;3.496063
3.527559;3.527559
3.559055;3.559055
3.590551;3.590551
3.622047;3.622047
3.653543;3.653543
3.685039;3.685039
3.716535;3.716535
3.748031;3.748031
3.779528;3.779528
3.811024;3.811024
3.84252;3.84252
3.874016;3.874016
3.905512;3.905512
3.937008;3.937008
3.968504;3.968504
4;4
4.031496;4.031496
4.062992;4.062992
4.094488;4.094488
4.125984;4.125984
4.15748;4.15748
4.188976;4.188976
4.220472;4.220472
4.251969;4.251969
4.283465;4.283465
4.314961;4.314961
4.346457;4.346457
4.377953;4.377953
4.409449;4.409449
4.440945;4.440945
4.472441;4.472441
4.503937;4.503937
4.535433;4.535433
4.566929;4.566929
4.598425;4.598425
4.629921;4.629921
4.661417;4.661417
4.692913;4.692913
4.724409;4.724409
4.755906;4.755906
4.787402;4.787402
4.818898;4.818898
4.850394;4.850394
4.88189;4.88189
4.913386;4.913386
4.944882;4.944882
4.976378;4.976378
5.007874;5.007874
5.03937;5.03937
5.070866;5.070866
5.102362;5.102362
5.133858;5.133858
5.165354;5.165354
5.19685;5.19685
5.228346;5.228346
5.259843;5.259843
5.291339;5.291339
5.322835;5.322835
5.354331;5.354331
5.385827;5.385827
5.417323;5.417323
5.448819;5.448819
5.480315;5.480315
5.511811;5.511811
5.543307;5.543307
5.574803;5.574803
5.606299;5.606299
5.637795;5.637795
5.669291;5.669291
5.700787;5.700787
5.732283;5.732283
5.76378;5.76378
5.795276;5.795276
5.826772;5.826772
5.858268;5.858268
5.889764;5.889764
5.92126;5.92126
5.952756;5.952756
5.984252;5.984252
6.015748;6.015748
6.047244;6.047244
6.07874;6.07874
6.110236;6.110236
6.141732;6.141732
6.173228;6.173228
6.204724;6.204724
6.23622;6.23622
6.267717;6.267717
6.299213;6.299213
6.330709;6.330709
6.362205;6.362205
6.393701;6.393701
6.425197;6.425197
6.456693;6.456693
6.488189;6.488189
6.519685;6.519685
6.551181;6.551181
6.582677;6.582677
6.614173;6.614173
6.645669;6.645669
6.677165;6.677165
6.708661;6.708661
6.740157;6.740157
6.771654;6.771654
6.80315;6.80315
6.834646;6.834646
6.866142;6.866142
6.897638;6.897638
6.929134;6.929134
6.96063;6.96063
6.992126;6.992126
7.023622;7.023622
7.055118;7.055118
7.086614;7.086614
7.11811;7.11811
7.149606;7.149606
7.181102;7.181102
7.212598;7.212598
7.244094;7.244094
7.275591;7.275591
7.307087;7.307087
7.338583;7.338583
7.370079;7.370079
7.401575;7.401575
7.433071;7.433071
7.464567;7.464567
7.496063;7.496063
7.527559;7.527559
7.559055;7.559055
7.590551;7.590551
7.622047;7.622047
7.653543;7.653543
