T;MoleFrac_CO2_in;MoleFrac_H2_in;Conv_CO2;Conv_H2;MoleFrac_CO2_out;MoleFrac_H2_out;MoleFrac_CO_out;MoleFrac_CH4_out;MoleFrac_H2O_out
150;0.5;0.5;0.249737855;9.99E-01;0.499998681;0.000702765;1.32E-06;0.166431972;0.332865263
175;0.5;0.5;0.249485713;9.98E-01;0.499995064;0.001385286;4.94E-06;0.166203259;0.332411454
200;0.5;0.5;0.249060529;9.96E-01;0.499983912;0.002550304;1.61E-05;0.165811203;0.331638493
225;0.5;0.5;0.248388749;9.93E-01;0.499953368;0.004426953;4.66E-05;0.165175472;0.330397575
250;0.5;0.5;0.247390047;0.989008083;0.499877766;0.007300747;0.000122234;0.164192339;0.328506913
275;0.5;0.5;0.245991245;0.982635285;0.499706256;0.011508165;0.000293744;0.162732697;0.325759138
300;0.5;0.5;0.244149703;0.973626823;0.499345527;0.017423196;0.000654473;0.160640777;0.321936027
325;0.5;0.5;0.241888239;0.961329365;0.498635512;0.025434973;0.001364488;0.157733513;0.316831514
350;0.5;0.5;0.239342673;0.945064453;0.497318058;0.035916882;0.002681942;0.153800392;0.310282726
375;0.5;0.5;0.236820704;0.92416112;0.49500106;0.049189392;0.00499894;0.148603889;0.302206718
400;0.5;0.5;0.234865604;0.897986824;0.491125857;0.065480403;0.008874143;0.141881818;0.292637779
425;0.5;0.5;0.234308546;0.865972791;0.484955386;0.084886956;0.015044614;0.133356144;0.281756901
450;0.5;0.5;0.236277927;0.827640445;0.475614582;0.107338416;0.024385418;0.122758722;0.269902862
475;0.5;0.5;0.242116194;0.782662634;0.462226947;0.132552228;0.037773053;0.109891573;0.257556199
500;0.5;0.5;0.253147219;0.731040199;0.444183836;0.159961373;0.055816164;0.094740821;0.245297806
525;0.5;0.5;0.270264348;0.673520545;0.421529254;0.188589718;0.078470746;0.077646512;0.23376377
550;0.5;0.5;0.293393341;0.612352727;0.395335297;0.216882544;0.104664703;0.059484251;0.223633205
575;0.5;0.5;0.321029668;0.552189686;0.367827503;0.242598155;0.132172497;0.041743116;0.215658729
600;0.5;0.5;0.350242603;0.500200357;0.341972508;0.263048544;0.158027492;0.026307988;0.210643468
625;0.5;0.5;0.377629262;0.463691651;0.320376148;0.276074038;0.179623852;0.01476737;0.209158592
650;0.5;0.5;0.401034608;0.445428678;0.303981014;0.281450573;0.196018986;0.007510147;0.21103928
675;0.5;0.5;0.420401154;0.441857552;0.291887038;0.281081557;0.208112962;0.003601827;0.215316616
700;0.5;0.5;0.43681722;0.446966007;0.282547227;0.277455609;0.217452773;0.001697206;0.220847185
725;0.5;0.5;0.451323864;0.456157793;0.274780825;0.27235996;0.225219175;0.000806955;0.226833085
750;0.5;0.5;0.464561166;0.466912394;0.267929405;0.266752869;0.232070595;0.000392179;0.232854953
775;0.5;0.5;0.476868294;0.478042598;0.261668279;0.261080897;0.238331721;0.000195794;0.238723309
800;0.5;0.5;0.488423111;0.489026199;0.255839876;0.255538271;0.244160124;0.000100535;0.244361194
825;0.5;0.5;0.499325878;0.499644267;0.250363632;0.250204421;0.249636368;5.31E-05;0.249742509
850;0.5;0.5;5.10E-01;0.509812937;0.245193944;0.245107634;0.254806056;2.88E-05;0.254863596
875;0.5;0.5;5.19E-01;0.519508569;0.24030139;0.240253401;0.25969861;1.60E-05;0.259730602
900;0.5;0.5;5.29E-01;0.528734504;0.23566437;0.235637041;0.26433563;9.11E-06;0.264353849
925;0.5;0.5;5.37E-01;0.537506065;0.231265342;0.231249422;0.268734658;5.31E-06;0.268745272
950;0.5;0.5;5.46E-01;0.545843648;0.227089085;0.22707961;0.272910915;3.16E-06;0.272917232
975;0.5;0.5;5.54E-01;0.553769454;0.223121883;0.223116129;0.276878117;1.92E-06;0.276881953
1000;0.5;0.5;5.61E-01;0.56130592;0.219351123;0.219347561;0.280648877;1.19E-06;0.280651252
