Ratio_H2_CO2_IN;T;p;Molar_Flow_H2_IN;Molar_Flow_CO2_IN;Mole_Frac_Dry_CO;Mole_Frac_Dry_CO2;Mole_Frac_Dry_H2;Mole_Frac_Dry_CH4;Conversion_H2;Conversion_CO2
1;150;1;1;1;0.00000199;0.749;0.00106;0.249;0.998938523;0.249736125
1;175;1;1;1;0.00000744;0.749;0.00209;0.249;0.997906913;0.249482322
1;200;1;1;1;0.0000242;0.748;0.00384;0.248;0.996144401;0.249054342
1;225;1;1;1;0.0000701;0.747;0.00665;0.247;0.993300933;0.24837816
1;250;1;1;1;0.000183;0.744;0.0109;0.244;0.988936031;0.247372952
1;275;1;1;1;0.000439;0.741;0.0172;0.241;0.982521936;0.245965126
1;300;1;1;1;0.000972;0.736;0.0259;0.237;0.973455681;0.244111903
1;325;1;1;1;0.00201;0.73;0.0375;0.231;0.96108041;0.241836506
1;350;1;1;1;0.00391;0.721;0.0524;0.223;0.944714434;0.239276093
1;375;1;1;1;0.00721;0.709;0.0709;0.213;0.923684183;0.236741077
1;400;1;1;1;0.0126;0.694;0.0931;0.2;0.897355429;0.234779247
1;425;1;1;1;0.0211;0.675;0.119;0.185;0.865158879;0.234228235
1;450;1;1;1;0.0336;0.651;0.148;0.168;0.826617071;0.236224245
1;475;1;1;1;0.0512;0.622;0.179;0.148;0.78140712;0.2421169
1;500;1;1;1;0.0744;0.588;0.213;0.125;0.729541411;0.253232687
1;525;1;1;1;0.103;0.549;0.247;0.101;0.671794648;0.270457479
1;550;1;1;1;0.135;0.508;0.28;0.076;0.610470456;0.293694527
1;575;1;1;1;0.169;0.468;0.31;0.0526;0.550306158;0.321402609
1;600;1;1;1;0.201;0.433;0.334;0.0328;0.498547336;0.35061534
1;625;1;1;1;0.227;0.405;0.35;0.0183;0.462474671;0.377927073
1;650;1;1;1;0.249;0.385;0.357;0.00931;0.44468416;0.401227433
1;675;1;1;1;0.265;0.372;0.358;0.00448;0.441461672;0.420508443
1;700;1;1;1;0.279;0.363;0.356;0.00212;0.446770213;0.436872465
1;725;1;1;1;0.291;0.355;0.352;0.00102;0.45606292;0.451351653
1;750;1;1;1;0.303;0.349;0.348;0.000498;0.466866063;0.464575221
1;775;1;1;1;0.313;0.344;0.343;0.000251;0.478019504;0.476875535
1;800;1;1;1;0.323;0.339;0.338;0.00013;0.489014394;0.488426929
1;825;1;1;1;0.333;0.334;0.333;0.0000689;0.49963807;0.499327941
1;850;1;1;1;0.342;0.329;0.329;0.0000376;0.509809598;0.509641469
1;875;1;1;1;0.351;0.325;0.325;0.000021;0.519506724;0.519413242
1;900;1;1;1;0.359;0.32;0.32;0.0000121;0.528733459;0.528680222
1;925;1;1;1;0.367;0.316;0.316;0.00000707;0.53750546;0.537474448
1;950;1;1;1;0.375;0.312;0.312;0.00000423;0.54584329;0.545824834
1;975;1;1;1;0.383;0.309;0.309;0.00000258;0.553769237;0.553758028
1;1000;1;1;1;0.39;0.305;0.305;0.00000161;0.561305787;0.561298848
