C,Qflow,STCs
5.0,5.666666666666668e-6,3.0364696164812773e-6
10.0,5.666666666666668e-6,9.466824244507886e-5
16.5,5.666666666666668e-6,0.00013975315988647586
25.0,5.666666666666668e-6,0.00031262596124009546
37.5,5.666666666666668e-6,0.0007928221077628424
50.0,5.666666666666668e-6,0.0013053148379005416
62.5,5.666666666666668e-6,0.0015837237875896575
75.0,5.666666666666668e-6,0.0016108253121606745
87.5,5.666666666666668e-6,0.0015182309378849
100.0,5.666666666666668e-6,0.001407566415922191
112.5,5.666666666666668e-6,0.0013048689707816712
125.0,5.666666666666668e-6,0.0012142304916824228
5.0,1.1333333333333336e-5,2.7423441893807473e-6
10.0,1.1333333333333336e-5,0.00015252863999513493
16.5,1.1333333333333336e-5,0.00038224361942765857
25.0,1.1333333333333336e-5,0.0006196841600196805
37.5,1.1333333333333336e-5,0.0015043973576725116
50.0,1.1333333333333336e-5,0.00242856064928691
62.5,1.1333333333333336e-5,0.0029934899409289474
75.0,1.1333333333333336e-5,0.0030624205516152415
87.5,1.1333333333333336e-5,0.002900628428237287
100.0,1.1333333333333336e-5,0.00269396607177852
112.5,1.1333333333333336e-5,0.0024994010077553125
125.0,1.1333333333333336e-5,0.002326997858587089
5.0,1.87e-5,1.7789698037854461e-6
10.0,1.87e-5,0.00019691919999821736
16.5,1.87e-5,0.0008068843349830121
25.0,1.87e-5,0.0010432716441269635
37.5,1.87e-5,0.0023975266646186094
50.0,1.87e-5,0.0037976158944131736
62.5,1.87e-5,0.004635107426218607
75.0,1.87e-5,0.0048522977201539905
87.5,1.87e-5,0.004612821673190098
100.0,1.87e-5,0.004290126394737145
112.5,1.87e-5,0.0039833501344996095
125.0,1.87e-5,0.0037100651026592186
5.0,2.8333333333333335e-5,8.693780217817048e-7
10.0,2.8333333333333335e-5,0.0002203220257505942
16.5,2.8333333333333335e-5,0.0014418140878949513
25.0,2.8333333333333335e-5,0.0016284576360843705
37.5,2.8333333333333335e-5,0.0034632779624495496
50.0,2.8333333333333335e-5,0.0054566781742062575
62.5,2.8333333333333335e-5,0.006665075356325673
75.0,2.8333333333333335e-5,0.0070703436901090105
87.5,2.8333333333333335e-5,0.006762998589583584
100.0,2.8333333333333335e-5,0.006307068225031996
112.5,2.8333333333333335e-5,0.005861285899809829
125.0,2.8333333333333335e-5,0.005462296404273842
5.0,4.25e-5,2.7959969141618067e-7
10.0,4.25e-5,0.00021319190070969937
16.5,4.25e-5,0.002281463049112761
25.0,4.25e-5,0.0025781113000105096
37.5,4.25e-5,0.004983758864027081
50.0,4.25e-5,0.007685167701957121
62.5,4.25e-5,0.009533544652967177
75.0,4.25e-5,0.010076168824999072
87.5,4.25e-5,0.00980501364693621
100.0,4.25e-5,0.009177515995553658
112.5,4.25e-5,0.00854452611397045
125.0,4.25e-5,0.00797049943342688
5.0,5.666666666666667e-5,8.920476100762298e-8
10.0,5.666666666666667e-5,0.00018128409103696704
16.5,5.666666666666667e-5,0.002580024508858028
25.0,5.666666666666667e-5,0.003644465536951472
37.5,5.666666666666667e-5,0.006416586777667709
50.0,5.666666666666667e-5,0.009765224551806907
62.5,5.666666666666667e-5,0.012029852919243812
75.0,5.666666666666667e-5,0.012896381600302554
87.5,5.666666666666667e-5,0.012683115041937193
100.0,5.666666666666667e-5,0.011964113516971062
112.5,5.666666666666667e-5,0.011160659290247742
125.0,5.666666666666667e-5,0.01042204080826144
5.0,7.083333333333334e-5,2.911293208684277e-8
10.0,7.083333333333334e-5,0.00014035473253789062
16.5,7.083333333333334e-5,0.002325867696616221
25.0,7.083333333333334e-5,0.004825239451711998
37.5,7.083333333333334e-5,0.007784605129801007
50.0,7.083333333333334e-5,0.011622234147070766
62.5,7.083333333333334e-5,0.014333629279784441
75.0,7.083333333333334e-5,0.01564173129366137
87.5,7.083333333333334e-5,0.015456033101110472
100.0,7.083333333333334e-5,0.01466916744553717
112.5,7.083333333333334e-5,0.013720077081445637
125.0,7.083333333333334e-5,0.012827509726788667
5.0,8.5e-5,9.830305542538154e-9
10.0,8.5e-5,9.969590972905187e-5
16.5,8.5e-5,0.0019475345742004271
25.0,8.5e-5,0.00609771917789459
37.5,8.5e-5,0.00917884263027227
50.0,8.5e-5,0.013248349434466775
62.5,8.5e-5,0.01648393991037779
75.0,8.5e-5,0.018051157173037558
87.5,8.5e-5,0.01808297793751386
100.0,8.5e-5,0.01727917585988053
112.5,8.5e-5,0.016224984412532478
125.0,8.5e-5,0.015191163388379982
5.0,9.916666666666667e-5,3.4521466445685543e-9
10.0,9.916666666666667e-5,6.497129626400358e-5
16.5,9.916666666666667e-5,0.0016065198012339141
25.0,9.916666666666667e-5,0.00749505667808766
37.5,9.916666666666667e-5,0.010444110496691363
50.0,9.916666666666667e-5,0.014920553077410791
62.5,9.916666666666667e-5,0.01847312404613759
75.0,9.916666666666667e-5,0.02035624435649433
87.5,9.916666666666667e-5,0.02058563081513578
100.0,9.916666666666667e-5,0.019819391671572706
112.5,9.916666666666667e-5,0.01867773331535932
125.0,9.916666666666667e-5,0.017514562931971265
5.0,0.00011333333333333334,1.26391565056679e-9
10.0,0.00011333333333333334,3.8949348566159723e-5
16.5,0.00011333333333333334,0.001319410247212088
25.0,0.00011333333333333334,0.008602017542385643
37.5,0.00011333333333333334,0.011568934117004014
50.0,0.00011333333333333334,0.01626369098114476
62.5,0.00011333333333333334,0.020292732155690437
75.0,0.00011333333333333334,0.022463165618591092
87.5,0.00011333333333333334,0.023085058059321817
100.0,0.00011333333333333334,0.022272204046838513
112.5,0.00011333333333333334,0.021074435251033374
125.0,0.00011333333333333334,0.019797971823042066
5.0,0.0001275,4.828921446294069e-10
10.0,0.0001275,2.1704479073197302e-5
16.5,0.0001275,0.0010788135460667817
25.0,0.0001275,0.009645390479861392
37.5,0.0001275,0.012903461302425553
50.0,0.0001275,0.017653517699265788
62.5,0.0001275,0.02194104516876421
75.0,0.0001275,0.02452318060705282
87.5,0.0001275,0.02522931553673609
100.0,0.0001275,0.02469419091728206
112.5,0.0001275,0.02339851063152286
125.0,0.0001275,0.022040417024238767
5.0,0.00014166666666666668,1.925118278382588e-10
10.0,0.00014166666666666668,1.1438840839436179e-5
16.5,0.00014166666666666668,0.000876516639723593
25.0,0.00014166666666666668,0.010080314593750342
37.5,0.00014166666666666668,0.014171928511523218
50.0,0.00014166666666666668,0.019117605054352314
62.5,0.00014166666666666668,0.023522918275605428
75.0,0.00014166666666666668,0.02625675650851699
87.5,0.00014166666666666668,0.027342555520725877
100.0,0.00014166666666666668,0.026972636207925157
112.5,0.00014166666666666668,0.025671340667167024
125.0,0.00014166666666666668,0.024241854605139966
