par_name;mean_value;uncertainty_rel;uncertainty_interval;variance;var_times_sens
G0;70000;0,05;3500;4,08E+06;27,76474505
nflowin;0,002055556;0,02;4,11E-05;5,63E-10;0,026418143
T_gas_in;298,15;0,02;5,963;11,85245633;0,010321512
abs1_vis;0;0,05;0;0;0
abs1_IR;0,67;0,05;0,0335;0,000374083;0,439829958
abs2_vis;0,39;0,05;0,0195;0,00012675;27,76501217
abs2_IR;0,56;0,05;0,028;0,000261333;4,601890317
abs3_IR;0,55;0,05;0,0275;0,000252083;2,379719905
abs4_IR;0,8;0,05;0,04;0,000533333;1,663085088
mcat;0,0005;0,05;2,50E-05;2,08E-10;0,002007792
poros;0,33;0,01;0,0033;3,63E-06;0,027934105
dp;0,0002;0,05;1,00E-05;3,33E-11;0
perm;1,20E-10;0,05;6,00E-12;1,20E-23;8,93E-14
lambdas;1,13;0,05;0,0565;0,001064083;0,450129539
delta_uc;0,017;0,01;0,00017;9,63E-09;0,00657517
delta_lc;0,018;0,01;0,00018;1,08E-08;0,006510581
delta_gap;0,0015;0,01;1,50E-05;7,50E-11;1,61E-12
Nu;4,8;0,5;2,4;1,92;65,42837982
k_conv;30;0,5;15;75;93,09597329
